platform,hashtag,category,country,month,date,posts,likes,views,comments,shares,engagement_rate
TikTok,#ChatGPT,Technology,India,May,2023-05-17,3657652,1080965,102792647,17589,162968,1.23
Facebook,#Gaming,Gaming,India,June,2023-06-14,369260,77785,792151,4467,11562,11.84
TikTok,#Travel,Travel,India,August,2023-08-14,426460,241331,4621649,13991,17713,5.91
Twitter,#ChessOlympiad,Sports,India,May,2023-05-05,656168,154426,5872715,26718,16078,3.36
Twitter,#Streetwear,Fashion,Brazil,January,2023-01-12,352997,32405,2225308,2610,8327,1.95
YouTube,#NEET,Education,Pakistan,March,2023-03-14,182708,28285,4258911,2709,1596,0.77
Twitter,#IndianFashion,Fashion,India,May,2023-05-26,215445,44777,1495989,2595,13273,4.05
Twitter,#Olympics,Sports,Bangladesh,May,2023-05-19,700186,154332,5097916,27724,16316,3.89
Facebook,#Python,Technology,Indonesia,December,2023-12-30,112442,31354,551862,2625,1557,6.44
Instagram,#NEET,Education,Indonesia,December,2023-12-31,55064,6272,774598,278,464,0.91
Instagram,#Movies,Entertainment,Bangladesh,June,2023-06-30,755281,240806,4406654,23661,18087,6.41
Twitter,#Streetwear,Fashion,France,January,2023-01-16,994999,160182,4220338,11654,59131,5.47
Instagram,#ChessOlympiad,Sports,UK,September,2023-09-24,1431858,450114,15043522,17191,23240,3.26
Instagram,#Foodie,Food,France,November,2023-11-06,700560,180190,3209451,13009,14828,6.48
Instagram,#Parliament,Politics,Australia,December,2023-12-28,1894591,536798,8758750,53494,63245,7.46
Instagram,#Yoga,Health,USA,February,2023-02-04,1178827,337777,13713631,11731,35654,2.81
Instagram,#Movies,Entertainment,France,July,2023-07-31,872457,179876,10423520,15421,15706,2.02
YouTube,#Budget2024,Politics,India,March,2023-03-09,48930,2638,9662305,264,138,0.03
TikTok,#Startup,Technology,India,April,2023-04-29,268812,83779,5968575,3632,10501,1.64
TikTok,#Wanderlust,Travel,Bangladesh,July,2023-07-11,1593306,849962,27542110,16681,67137,3.39
Twitter,#IndianFood,Food,France,May,2023-05-19,438108,41405,3229168,3329,6681,1.59
Instagram,#Travel,Travel,Brazil,December,2023-12-19,691355,278872,9437716,15116,27847,3.41
TikTok,#HealthyEating,Food,USA,July,2023-07-21,4847733,2022535,87893099,144216,339862,2.85
TikTok,#Olympics,Sports,Brazil,January,2023-01-22,2111262,809492,31437282,49752,108192,3.08
TikTok,#Netflix,Entertainment,India,August,2023-08-14,3389000,1857100,82494784,55739,139232,2.49
YouTube,#MentalHealth,Health,Australia,September,2023-09-22,37787,4516,5150302,143,203,0.09
Instagram,#Meditation,Health,Indonesia,March,2023-03-11,834320,204196,7017157,7006,16974,3.25
Instagram,#IncredibleIndia,Travel,India,June,2023-06-15,1460636,477630,16852287,15818,45849,3.2
Twitter,#ChessOlympiad,Sports,Brazil,November,2023-11-21,385573,25857,2952807,4112,10150,1.36
TikTok,#Democracy,Politics,Indonesia,July,2023-07-14,418310,207363,11631661,10281,30882,2.14
Instagram,#Budget2024,Politics,India,December,2023-12-31,117605,29031,789625,2365,2036,4.23
Instagram,#Cricket,Sports,India,January,2023-01-02,1315603,483995,4139535,28947,36240,13.27
Twitter,#Ayurveda,Health,India,April,2023-04-22,622466,113222,3504426,13165,31743,4.51
Twitter,#Startup,Technology,India,November,2023-11-14,664172,107270,5713220,6150,15498,2.26
YouTube,#Netflix,Entertainment,Germany,January,2023-01-17,175349,23972,22548370,1511,386,0.11
Twitter,#Recipe,Food,India,December,2023-12-11,303194,52215,2283690,7270,17554,3.37
Instagram,#Wanderlust,Travel,Pakistan,July,2023-07-04,1963454,220974,23997617,10126,24478,1.07
Twitter,#StreetFood,Food,India,May,2023-05-30,498687,38353,3768555,3496,9899,1.37
TikTok,#TechNews,Technology,India,November,2023-11-10,538087,107179,12506870,5790,21229,1.07
Facebook,#Meditation,Health,India,August,2023-08-07,646419,172280,2299933,14086,18702,8.92
Instagram,#WellBeing,Health,Brazil,September,2023-09-24,1539211,494317,13714452,17000,41941,4.03
YouTube,#AI,Technology,India,January,2023-01-13,122366,17598,5044737,2292,1160,0.42
Facebook,#IndianFood,Food,USA,June,2023-06-29,595638,153275,1950135,13435,17764,9.46
YouTube,#FIFA,Sports,India,September,2023-09-17,144677,14263,3053209,1556,483,0.53
TikTok,#MentalHealth,Health,Germany,March,2023-03-31,1677520,501128,22559995,28600,93923,2.76
Twitter,#Democracy,Politics,India,November,2023-11-18,487992,111463,3072270,11175,37362,5.21
Facebook,#OTT,Entertainment,India,October,2023-10-17,768180,176069,4095216,5578,18225,4.88
YouTube,#BGMI,Gaming,India,May,2023-05-24,8671,874,759088,78,18,0.13
TikTok,#Recipe,Food,Pakistan,March,2023-03-01,2636051,1232010,33906166,15047,138084,4.09
Facebook,#Coding,Technology,Brazil,June,2023-06-04,234639,45877,715666,2921,2023,7.1
Instagram,#Olympics,Sports,Indonesia,January,2023-01-13,1685677,453332,15172191,15964,51284,3.43
TikTok,#Saree,Fashion,India,February,2023-02-20,4379751,1990696,36430457,120874,236704,6.45
TikTok,#IPL2024,Sports,India,January,2023-01-23,780445,234118,21251241,4030,38612,1.3
YouTube,#OTT,Entertainment,Canada,June,2023-06-09,167970,30876,13061089,1390,906,0.25
YouTube,#Wanderlust,Travel,India,May,2023-05-20,39643,2918,1609619,421,143,0.22
Twitter,#Startup,Technology,USA,October,2023-10-09,338955,35322,3235739,6025,9615,1.57
Instagram,#FIFA,Sports,Pakistan,June,2023-06-23,1143672,291952,5216159,16833,26507,6.43
Twitter,#IndianFood,Food,India,August,2023-08-07,415954,35687,2815580,4957,12520,1.89
Facebook,#Fitness,Health,India,June,2023-06-20,215772,51102,1300074,3986,7517,4.82
Facebook,#Yoga,Health,India,December,2023-12-24,499022,50599,1927397,4452,6290,3.18
Facebook,#ChatGPT,Technology,India,November,2023-11-12,278587,78235,1212539,7273,8853,7.78
YouTube,#Rajasthan,Travel,India,February,2023-02-03,125106,8373,13280924,1088,249,0.07
YouTube,#WellBeing,Health,India,September,2023-09-18,27483,3046,4083126,103,149,0.08
Twitter,#BeautyTips,Fashion,Brazil,July,2023-07-25,624221,82826,4348946,10948,32481,2.9
Facebook,#FIFA,Sports,India,December,2023-12-22,627677,109750,4946867,8895,8521,2.57
Instagram,#BJP,Politics,Bangladesh,February,2023-02-09,1560565,664491,15434392,39158,55348,4.92
Facebook,#PubG,Gaming,India,August,2023-08-16,192731,28479,854716,2387,3286,4.0
TikTok,#Foodie,Food,Brazil,November,2023-11-27,565750,107911,14384668,7781,20016,0.94
Twitter,#BJP,Politics,India,August,2023-08-20,562062,60871,3892041,7126,9842,2.0
YouTube,#BeautyTips,Fashion,Canada,December,2023-12-14,80335,15084,15151322,1709,1117,0.12
Twitter,#MentalHealth,Health,Pakistan,September,2023-09-19,428831,94140,3782307,5588,34862,3.56
Twitter,#WebSeries,Entertainment,Indonesia,July,2023-07-03,120027,26675,1071293,2275,8287,3.48
Facebook,#Valorant,Gaming,UK,July,2023-07-27,408099,71720,1333380,3270,3965,5.92
TikTok,#Foodie,Food,Germany,August,2023-08-02,1344087,376091,36046252,7066,19459,1.12
Twitter,#BJP,Politics,France,September,2023-09-07,694886,95440,6894479,5984,27932,1.88
Facebook,#Wanderlust,Travel,Pakistan,August,2023-08-06,661523,79088,3344984,6302,7078,2.76
YouTube,#ChatGPT,Technology,UK,November,2023-11-06,2447,334,421923,16,15,0.09
Facebook,#OnlineLearning,Education,USA,January,2023-01-18,47704,9778,297162,392,909,3.73
Twitter,#BJP,Politics,Australia,September,2023-09-27,906094,223563,7458022,26769,27603,3.73
TikTok,#Cricket,Sports,Brazil,November,2023-11-19,704998,322771,13028313,16323,45819,2.95
YouTube,#StudyTips,Education,Brazil,August,2023-08-21,134891,25077,16633915,1582,870,0.17
YouTube,#IndianFashion,Fashion,India,December,2023-12-22,157166,25525,23709262,2381,364,0.12
Facebook,#Yoga,Health,Pakistan,January,2023-01-27,696201,207384,4771326,17874,14838,5.03
Twitter,#Vote,Politics,India,May,2023-05-23,269294,20603,1143900,3681,2148,2.31
Twitter,#Yoga,Health,France,October,2023-10-30,779863,62566,4346352,10709,11160,1.94
Instagram,#Goa,Travel,Canada,September,2023-09-28,1817775,202830,26919175,19753,16956,0.89
Instagram,#Rajasthan,Travel,Canada,July,2023-07-16,509011,168601,5961531,5628,13824,3.15
YouTube,#WebSeries,Entertainment,India,March,2023-03-01,14268,1072,1309432,63,66,0.09
TikTok,#Python,Technology,Bangladesh,December,2023-12-28,3322148,1207817,28665970,85657,62540,4.73
Facebook,#HealthyEating,Food,USA,September,2023-09-29,724047,210184,1871072,16355,16587,12.99
Facebook,#Meditation,Health,Germany,May,2023-05-20,359238,50103,2447811,2654,5223,2.37
Facebook,#TechNews,Technology,Bangladesh,October,2023-10-29,212394,41287,1288447,4929,3074,3.83
Twitter,#Bollywood,Entertainment,India,July,2023-07-30,107444,16659,804110,1711,5290,2.94
YouTube,#AI,Technology,India,November,2023-11-14,24601,1439,3122972,196,36,0.05
TikTok,#ChessOlympiad,Sports,India,February,2023-02-14,1139741,363784,27463705,20136,62017,1.62
Instagram,#ChessOlympiad,Sports,India,May,2023-05-10,627755,165372,8935580,11758,18694,2.19
YouTube,#HealthyEating,Food,France,December,2023-12-08,85278,7555,13689816,423,108,0.06
Facebook,#BGMI,Gaming,India,May,2023-05-16,194572,34424,963195,3909,3687,4.36
Instagram,#IncredibleIndia,Travel,India,October,2023-10-04,1622096,407046,16817235,11600,28388,2.66
YouTube,#IPL2024,Sports,India,February,2023-02-06,150274,23913,24029216,536,1072,0.11
Twitter,#WebSeries,Entertainment,UK,May,2023-05-17,163971,31156,1514590,4243,7932,2.86
Facebook,#Rajasthan,Travel,UK,February,2023-02-05,574366,74487,2473532,6855,9369,3.67
Twitter,#WellBeing,Health,France,July,2023-07-03,354636,66092,1845851,9572,25620,5.49
Twitter,#PubG,Gaming,Germany,June,2023-06-24,89365,19502,722393,1823,3138,3.39
TikTok,#MusicMonday,Entertainment,Bangladesh,April,2023-04-08,2557106,1184316,70094155,64122,123037,1.96
Twitter,#Wanderlust,Travel,India,March,2023-03-13,42432,3760,329183,522,927,1.58
Twitter,#EdTech,Education,India,September,2023-09-13,564876,137259,4798183,26763,14401,3.72
YouTube,#Movies,Entertainment,Canada,January,2023-01-22,106801,7233,17651926,772,304,0.05
TikTok,#BJP,Politics,Pakistan,April,2023-04-30,654260,108996,5587224,6078,13153,2.3
TikTok,#Netflix,Entertainment,Australia,November,2023-11-29,1145029,179156,23835537,13136,31013,0.94
Twitter,#Travel,Travel,India,October,2023-10-30,72064,15389,205429,1917,5228,10.97
Instagram,#Cricket,Sports,UK,June,2023-06-22,1711882,672022,20294602,35053,27467,3.62
TikTok,#UPSC,Education,USA,April,2023-04-20,432407,180265,5788889,3326,12832,3.39
Facebook,#BJP,Politics,USA,October,2023-10-11,181021,31951,1367442,1075,1629,2.53
TikTok,#Recipe,Food,India,September,2023-09-07,727150,111150,6897251,1805,16423,1.88
YouTube,#HealthyEating,Food,Canada,September,2023-09-01,181997,12563,8327421,693,521,0.17
Instagram,#Vote,Politics,Australia,January,2023-01-20,1260472,205457,11342548,19728,17761,2.14
YouTube,#Esports,Gaming,India,October,2023-10-13,62271,4906,12304041,721,261,0.05
TikTok,#UPSC,Education,Brazil,November,2023-11-17,1795742,492737,17675443,32403,75283,3.4
Facebook,#Goa,Travel,India,December,2023-12-10,53209,4889,222688,238,330,2.45
TikTok,#IncredibleIndia,Travel,India,January,2023-01-27,4557707,1044395,112289596,45905,70402,1.03
Instagram,#Travel,Travel,Pakistan,June,2023-06-16,888845,150715,9885939,6941,15087,1.75
YouTube,#AI,Technology,India,July,2023-07-31,52917,5626,3160166,456,247,0.2
Facebook,#Budget2024,Politics,France,November,2023-11-09,485092,57810,2057231,4115,3547,3.18
YouTube,#IndianFashion,Fashion,USA,March,2023-03-07,8913,1371,273961,51,95,0.55
Facebook,#Recipe,Food,Canada,June,2023-06-25,238533,65598,1340988,6629,7227,5.93
TikTok,#Vote,Politics,Indonesia,April,2023-04-28,775399,259962,13991469,18289,21438,2.14
Facebook,#Kashmir,Travel,India,August,2023-08-08,779939,212121,2719638,14653,13674,8.84
TikTok,#Vote,Politics,France,January,2023-01-03,3554524,2101018,21332358,90229,347279,11.9
Twitter,#StreetFood,Food,UK,September,2023-09-03,854049,179011,7319482,21099,30817,3.15
TikTok,#WebSeries,Entertainment,Australia,July,2023-07-28,1878770,394016,23286904,21802,25063,1.89
Facebook,#IndianFashion,Fashion,Australia,August,2023-08-24,606087,148129,1300954,10507,18501,13.62
Facebook,#Parliament,Politics,Bangladesh,August,2023-08-26,746094,163654,5343746,5950,22629,3.6
YouTube,#StudyTips,Education,India,August,2023-08-07,197865,17900,37653153,1620,1174,0.05
Twitter,#Fitness,Health,Australia,January,2023-01-29,544740,130227,4029563,23857,17357,4.25
YouTube,#Travel,Travel,India,July,2023-07-07,96558,7366,11643184,211,439,0.07
Instagram,#Parliament,Politics,India,October,2023-10-04,248147,81184,2940184,6509,8800,3.28
Instagram,#Coding,Technology,USA,May,2023-05-17,1066054,360410,6743584,9035,22010,5.8
Facebook,#OnlineLearning,Education,Germany,March,2023-03-04,501002,118317,3041006,9223,8536,4.47
TikTok,#Valorant,Gaming,Australia,February,2023-02-03,1630024,898724,26808765,14030,165987,4.02
YouTube,#IPL2024,Sports,India,May,2023-05-22,29866,4616,3265523,617,214,0.17
Twitter,#Streetwear,Fashion,Bangladesh,October,2023-10-05,981980,75028,4687581,8746,22013,2.26
YouTube,#AI,Technology,India,April,2023-04-29,136715,20056,12865498,1294,1107,0.17
YouTube,#Travel,Travel,Bangladesh,December,2023-12-23,139479,24588,13968282,1463,472,0.19
YouTube,#Parliament,Politics,India,September,2023-09-05,97991,19167,15536958,501,665,0.13
Facebook,#Vote,Politics,France,March,2023-03-24,754389,149195,2333840,6830,17588,7.44
Instagram,#Budget2024,Politics,India,January,2023-01-22,674012,202934,5588006,10060,9834,3.99
Twitter,#Gaming,Gaming,India,July,2023-07-10,475211,75070,1568567,7149,28236,7.04
Facebook,#Goa,Travel,Brazil,June,2023-06-13,171633,13892,1103766,1636,1061,1.5
YouTube,#Kashmir,Travel,Canada,October,2023-10-21,175320,12634,21343750,1742,517,0.07
Twitter,#IncredibleIndia,Travel,India,December,2023-12-14,582723,42757,1281037,6098,7102,4.37
YouTube,#FIFA,Sports,India,November,2023-11-08,168616,13366,19350050,1624,851,0.08
Instagram,#Bollywood,Entertainment,Indonesia,August,2023-08-17,1429904,479082,5788999,29196,22756,9.17
YouTube,#WellBeing,Health,Indonesia,January,2023-01-29,175288,18257,8173726,2391,654,0.26
YouTube,#Movies,Entertainment,USA,June,2023-06-29,81262,15978,14413791,501,973,0.12
Facebook,#Cooking,Food,India,March,2023-03-25,771364,226379,3504301,25055,12530,7.53
TikTok,#MentalHealth,Health,India,April,2023-04-17,2593687,943002,69220696,74558,56502,1.55
TikTok,#IndianFood,Food,India,July,2023-07-29,2342848,788441,44268923,47083,128741,2.18
Instagram,#ChatGPT,Technology,Germany,July,2023-07-15,617048,181321,2163860,15611,19059,9.98
YouTube,#Travel,Travel,Australia,August,2023-08-26,59356,3206,1213260,173,246,0.3
Facebook,#ChessOlympiad,Sports,Bangladesh,May,2023-05-28,445420,53210,3314262,4684,2294,1.82
YouTube,#IncredibleIndia,Travel,Pakistan,July,2023-07-05,152822,18655,15051795,998,1082,0.14
Twitter,#PubG,Gaming,Australia,October,2023-10-22,23397,5125,77275,301,1004,8.32
Instagram,#FreeFireIndia,Gaming,India,May,2023-05-20,767414,189420,10701784,9182,10624,1.96
TikTok,#Kabaddi,Sports,India,November,2023-11-18,1587191,784247,31694715,17017,77162,2.77
YouTube,#Saree,Fashion,Bangladesh,December,2023-12-24,180945,18886,21025023,1241,378,0.1
Instagram,#JEE,Education,USA,September,2023-09-06,874015,191505,12174553,5399,8408,1.69
Instagram,#Startup,Technology,Pakistan,December,2023-12-20,1753606,759966,23064893,58520,70831,3.86
Twitter,#Cooking,Food,France,February,2023-02-09,127227,27197,1194315,3316,5261,3.0
YouTube,#Democracy,Politics,France,November,2023-11-02,137633,22645,11226465,2542,272,0.23
Twitter,#ChatGPT,Technology,Germany,December,2023-12-22,154274,28943,687973,2358,11413,6.21
Facebook,#IPL2024,Sports,India,September,2023-09-05,460195,41120,1218092,4168,3967,4.04
Twitter,#IncredibleIndia,Travel,France,May,2023-05-10,50383,3186,369846,519,1066,1.29
TikTok,#Startup,Technology,France,April,2023-04-13,1600062,722860,9170719,14593,117052,9.32
YouTube,#Fitness,Health,USA,March,2023-03-24,131738,22016,17169697,1885,325,0.14
TikTok,#OTT,Entertainment,India,April,2023-04-09,2414386,548785,57584184,5654,87148,1.11
Instagram,#EdTech,Education,Brazil,July,2023-07-07,1474090,451489,12199554,43622,20893,4.23
YouTube,#Cooking,Food,India,September,2023-09-21,60151,6684,9446937,406,284,0.08
TikTok,#Democracy,Politics,Canada,July,2023-07-04,2468194,989028,14846715,32606,66619,7.33
YouTube,#Travel,Travel,Australia,June,2023-06-09,180605,35475,18044616,3264,1076,0.22
Facebook,#AI,Technology,France,September,2023-09-01,720120,115822,1495484,10502,13195,9.33
Facebook,#Travel,Travel,Bangladesh,December,2023-12-13,97135,10318,424370,954,1522,3.01
Instagram,#FIFA,Sports,India,June,2023-06-23,429982,132536,6401544,3952,13973,2.35
Facebook,#Skincare,Fashion,Canada,October,2023-10-25,630487,88302,4247563,7765,7419,2.44
Facebook,#Ayurveda,Health,Brazil,September,2023-09-19,300438,33775,1420413,1384,3169,2.7
Instagram,#Elections2024,Politics,India,January,2023-01-28,1751291,216949,19504634,21210,13979,1.29
YouTube,#Parliament,Politics,Pakistan,November,2023-11-16,25753,4224,3579525,369,187,0.13
Facebook,#Coding,Technology,Bangladesh,September,2023-09-12,522064,99742,2743252,10258,9920,4.37
Twitter,#MusicMonday,Entertainment,France,March,2023-03-02,407265,57026,3593296,6636,6318,1.95
Instagram,#EdTech,Education,Germany,June,2023-06-05,1865350,647501,16597427,19916,61133,4.39
Facebook,#Kabaddi,Sports,Bangladesh,September,2023-09-09,700142,141311,3666191,10214,14392,4.53
Instagram,#StudyTips,Education,UK,May,2023-05-15,1047442,321424,7890980,23823,31815,4.78
YouTube,#BGMI,Gaming,India,October,2023-10-30,12327,853,1059552,106,43,0.09
YouTube,#IndianFood,Food,UK,June,2023-06-26,94181,10528,2840580,544,278,0.4
YouTube,#MentalHealth,Health,France,December,2023-12-19,17670,3186,717487,134,151,0.48
Twitter,#Wanderlust,Travel,Germany,August,2023-08-05,600642,91869,3225075,4874,22132,3.69
Twitter,#Esports,Gaming,Pakistan,July,2023-07-19,343083,56439,2904750,3669,17074,2.66
YouTube,#Travel,Travel,Canada,December,2023-12-08,89508,6712,6615872,980,161,0.12
Twitter,#UPSC,Education,India,May,2023-05-16,54840,6003,361294,1024,1725,2.42
Twitter,#MentalHealth,Health,Pakistan,June,2023-06-22,291643,18505,2452567,2244,3014,0.97
Twitter,#BeautyTips,Fashion,Canada,June,2023-06-03,458939,83844,2068357,9402,14704,5.22
TikTok,#Wanderlust,Travel,Canada,October,2023-10-08,1564989,855115,32389166,39451,66682,2.97
Facebook,#TechNews,Technology,Germany,August,2023-08-28,288951,82690,1501480,7053,10303,6.66
Facebook,#Meditation,Health,Bangladesh,January,2023-01-31,555639,68978,2653131,3561,8422,3.05
YouTube,#Cooking,Food,USA,February,2023-02-02,166680,13423,15707741,1705,741,0.1
YouTube,#Yoga,Health,UK,May,2023-05-03,30268,2194,756298,271,69,0.34
Facebook,#NEET,Education,UK,November,2023-11-28,46801,5823,170181,189,738,3.97
YouTube,#UPSC,Education,Bangladesh,January,2023-01-22,189892,23333,4478331,3074,370,0.6
TikTok,#OOTD,Fashion,France,July,2023-07-28,3098707,1401397,84108153,52948,246606,2.02
Instagram,#AI,Technology,Pakistan,September,2023-09-14,1966507,279686,21573772,18580,27901,1.51
TikTok,#Streetwear,Fashion,France,February,2023-02-16,2047133,859631,49806279,27455,150306,2.08
Facebook,#Python,Technology,India,March,2023-03-15,120002,14224,938360,989,966,1.72
TikTok,#MusicMonday,Entertainment,Indonesia,July,2023-07-11,997588,291715,15556918,16858,56737,2.35
Instagram,#Esports,Gaming,Australia,July,2023-07-08,1732528,360123,18615616,33281,11931,2.18
Twitter,#Coding,Technology,Indonesia,July,2023-07-16,329291,58544,2504236,10858,17889,3.49
TikTok,#Python,Technology,UK,January,2023-01-05,3346517,1898741,93529017,58979,361612,2.48
Instagram,#IndianFashion,Fashion,Germany,March,2023-03-24,1930762,489633,13141176,41608,43087,4.37
Twitter,#OOTD,Fashion,Germany,September,2023-09-09,498975,98491,4696341,9840,22328,2.78
Twitter,#BJP,Politics,India,September,2023-09-17,74591,8978,508481,1544,2884,2.64
Facebook,#Bollywood,Entertainment,Bangladesh,November,2023-11-25,200664,43872,1353702,1853,3688,3.65
YouTube,#PubG,Gaming,India,February,2023-02-26,41872,3661,6215542,438,202,0.07
Instagram,#Meditation,Health,UK,June,2023-06-13,956842,255886,11311848,10454,23508,2.56
YouTube,#IndianFashion,Fashion,India,August,2023-08-01,96864,7485,17217595,1068,538,0.05
Instagram,#Bollywood,Entertainment,France,October,2023-10-13,1367081,429538,7853178,11648,30762,6.01
YouTube,#Elections2024,Politics,UK,November,2023-11-13,112934,15817,5292676,2286,346,0.35
TikTok,#IPL2024,Sports,Australia,September,2023-09-27,3700376,1842830,104376956,125142,228736,2.1
Instagram,#ChatGPT,Technology,Germany,May,2023-05-17,613900,221774,4656359,12087,10777,5.25
Instagram,#Skincare,Fashion,Bangladesh,April,2023-04-07,887303,144745,11099772,3228,17058,1.49
Instagram,#Ayurveda,Health,France,May,2023-05-08,785186,238709,8453961,6411,17234,3.1
YouTube,#HealthyEating,Food,India,July,2023-07-16,186216,21134,23741659,623,1035,0.1
Twitter,#FreeFireIndia,Gaming,Brazil,July,2023-07-01,640829,152430,6240186,21299,49459,3.58
Twitter,#Movies,Entertainment,Indonesia,November,2023-11-14,404442,44691,2085939,4720,17448,3.21
TikTok,#OTT,Entertainment,India,May,2023-05-14,1474943,555590,41679195,39698,38773,1.52
YouTube,#NEET,Education,India,May,2023-05-14,31129,3019,6105423,256,235,0.06
YouTube,#Esports,Gaming,India,May,2023-05-15,161176,28115,30109133,2451,1138,0.11
Instagram,#Valorant,Gaming,Brazil,March,2023-03-19,1175334,468443,12798251,39282,16297,4.09
Instagram,#Netflix,Entertainment,India,January,2023-01-19,996180,190348,11427733,10452,22759,1.96
Facebook,#MusicMonday,Entertainment,USA,December,2023-12-30,596098,111317,2955412,11813,15067,4.68
Twitter,#BGMI,Gaming,India,May,2023-05-26,194430,42189,1555341,7314,11347,3.91
TikTok,#Startup,Technology,India,September,2023-09-27,4838115,1118843,135517197,30467,139538,0.95
Twitter,#BGMI,Gaming,India,December,2023-12-15,718702,53470,3585220,10125,7048,1.97
YouTube,#Elections2024,Politics,India,August,2023-08-24,186021,27704,18923914,3994,1429,0.18
Twitter,#BGMI,Gaming,Bangladesh,November,2023-11-15,480111,55204,3770005,8840,21376,2.27
TikTok,#Budget2024,Politics,Germany,January,2023-01-25,2423590,715993,15482803,10704,138032,5.59
Facebook,#Olympics,Sports,India,April,2023-04-02,259742,75925,1868348,2887,10155,4.76
Instagram,#Cooking,Food,India,November,2023-11-28,1588229,689372,7702300,30252,70384,10.26
YouTube,#Yoga,Health,USA,December,2023-12-07,25695,4491,2884972,375,323,0.18
Facebook,#BeautyTips,Fashion,Pakistan,August,2023-08-05,102604,25284,704475,2155,2218,4.21
Facebook,#IPL2024,Sports,Indonesia,June,2023-06-24,494041,113044,2907759,10651,16094,4.81
TikTok,#StudyTips,Education,India,August,2023-08-28,3718804,690330,93113710,21419,136428,0.91
YouTube,#Startup,Technology,UK,June,2023-06-01,149538,8547,5050773,221,149,0.18
Facebook,#IndianFood,Food,Brazil,December,2023-12-05,763299,156526,2687027,8286,7668,6.42
TikTok,#Bollywood,Entertainment,Australia,December,2023-12-05,3932910,907709,37579754,34045,56725,2.66
YouTube,#PubG,Gaming,Australia,August,2023-08-21,199035,29962,26329518,1631,2327,0.13
Instagram,#ChatGPT,Technology,India,November,2023-11-06,553828,224336,2368150,14077,6848,10.36
Twitter,#Netflix,Entertainment,Bangladesh,September,2023-09-02,487515,91828,4363378,17894,25763,3.11
Facebook,#BeautyTips,Fashion,Germany,November,2023-11-12,386251,89589,3004588,8131,11513,3.64
Twitter,#Budget2024,Politics,India,April,2023-04-08,122348,26083,925961,2040,2818,3.34
Facebook,#BJP,Politics,India,August,2023-08-12,664470,178610,3476171,6742,22267,5.97
Instagram,#Rajasthan,Travel,India,March,2023-03-01,358348,149017,4251933,8288,10975,3.96
Twitter,#Travel,Travel,India,April,2023-04-14,314153,51485,2723929,2967,5270,2.19
Facebook,#Cooking,Food,Australia,October,2023-10-24,632783,152397,5058567,5079,12795,3.37
TikTok,#Meditation,Health,Pakistan,December,2023-12-14,4142814,1053756,27001275,11940,143796,4.48
TikTok,#FIFA,Sports,France,November,2023-11-28,3549202,1952463,28122167,104630,286869,8.33
Facebook,#IndianFood,Food,India,May,2023-05-28,769485,94095,3126482,4788,6037,3.36
YouTube,#Meditation,Health,Bangladesh,August,2023-08-28,34882,6365,5237152,450,249,0.13
YouTube,#Goa,Travel,Pakistan,April,2023-04-17,74544,11450,2647395,947,253,0.48
Instagram,#Ayurveda,Health,India,August,2023-08-01,1987729,890141,13206119,32716,30473,7.22
Twitter,#Gaming,Gaming,USA,December,2023-12-13,171309,14551,1520486,1826,4977,1.4
YouTube,#IndianFood,Food,Pakistan,April,2023-04-27,32137,4315,3456197,643,280,0.15
Twitter,#JEE,Education,France,March,2023-03-19,899863,169198,5509950,25451,52776,4.49
Facebook,#IncredibleIndia,Travel,India,November,2023-11-09,647270,163160,4973817,16989,7279,3.77
Twitter,#BJP,Politics,India,April,2023-04-16,960237,117463,7515577,18350,38597,2.32
Facebook,#Cricket,Sports,Bangladesh,July,2023-07-06,358861,93381,982525,4498,13695,11.36
Twitter,#Python,Technology,USA,May,2023-05-27,534554,45037,2206705,7083,10110,2.82
Instagram,#Vote,Politics,UK,April,2023-04-27,299395,113955,2383457,6010,8123,5.37
TikTok,#BGMI,Gaming,Brazil,March,2023-03-16,133455,63115,2393344,938,6358,2.94
Facebook,#Democracy,Politics,India,July,2023-07-21,46895,10562,274279,1174,489,4.46
TikTok,#Streetwear,Fashion,UK,December,2023-12-15,4694020,2549302,108144475,81472,259069,2.67
YouTube,#OnlineLearning,Education,France,March,2023-03-17,184078,20357,25015884,2756,1093,0.1
TikTok,#Wanderlust,Travel,USA,November,2023-11-29,3443239,1717935,93051354,27314,224388,2.12
Facebook,#Vote,Politics,Indonesia,May,2023-05-26,232116,23309,1232701,1792,2873,2.27
Instagram,#Bollywood,Entertainment,France,October,2023-10-04,1252570,238666,16266810,10576,16240,1.63
TikTok,#ChessOlympiad,Sports,India,July,2023-07-10,2228995,963249,30897957,12850,142218,3.62
Twitter,#Kashmir,Travel,Pakistan,January,2023-01-03,480159,56560,1867232,9155,15524,4.35
TikTok,#Yoga,Health,USA,June,2023-06-03,2436856,1096865,61840047,54945,77872,1.99
Facebook,#EdTech,Education,India,February,2023-02-23,351772,68109,1109957,6815,6128,7.3
Instagram,#Cooking,Food,India,February,2023-02-17,140429,34926,640462,1298,1293,5.86
TikTok,#StreetFood,Food,Indonesia,September,2023-09-23,3361675,1823394,65914360,99470,363724,3.47
Facebook,#Recipe,Food,India,September,2023-09-16,141299,26373,670644,3088,2543,4.77
TikTok,#ChessOlympiad,Sports,India,August,2023-08-22,4020794,662117,35869472,32531,124646,2.28
